Messstelle:                ;Kleinmünchen, Bl VIII
HZB-Nummer:                ;378679
HD-Nummer:                 ;VIII
DBMS-Nummer:               ;4002924
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Linzer Elektrizitäts-, Fernwärme- und Verkehrsbetriebe-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.06.2012
 Geländehöhe:              ;258,02
 Messpunkthöhe:            ;258,92
 Sohllage:                 ;252,30
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 18 58                 ;48 15 31
  01.01.2003               ;14 19 03                 ;48 15 27
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.01.1993 07:01:00   ;   253,12 ;     
25.04.1994 07:01:00   ;   253,32 ;     
17.04.1995 07:01:00   ;   253,28 ;     
20.05.1996 07:01:00   ;   253,54 ;     
28.07.1997 07:01:00   ;   253,59 ;     
05.01.1998 07:01:00   ;   253,42 ;     
17.05.1999 07:01:00   ;   253,60 ;     
19.08.2002 07:01:00   ;   254,06 ;     
13.01.2003 07:01:00   ;   253,72 ;     
13.04.2004 07:01:00   ;   253,11 ;     
31.07.2005 07:01:00   ;   253,34 ;     
12.04.2006 07:01:00   ;   253,47 ;     
19.09.2007 07:01:00   ;   253,19 ;     
20.08.2008 07:01:00   ;   252,98 ;     
08.07.2009 07:01:00   ;   253,62 ;     
11.08.2010 07:01:00   ;   253,08 ;     
26.01.2011 07:01:00   ;   252,82 ;     
01.02.2012 07:01:00   ;   253,00 ;     
05.06.2013 07:01:00   ;   253,40 ;     
01.01.2014 07:01:00   ;   252,76 ;     
20.01.2015 07:01:00   ;   252,64 ;     
09.06.2016 07:01:00   ;   252,95 ;     
15.08.2017 07:01:00   ;   253,00 ;     
30.01.2018 07:01:00   ;   252,88 ;     
24.01.2019 07:01:00   ;   252,86 ;     
10.08.2020 07:01:00   ;   252,73 ;     
31.08.2021 07:01:00   ;   252,79 ;     
