Messstelle:                ;Federaun, Bl  33
HZB-Nummer:                ;309864
HD-Nummer:                 ;
DBMS-Nummer:               ;2002031
PorenGW-Gebiet:            ;425 Unteres Gailtal
Grundwasserkörper:         ;Gruppe Südliche Kalkalpen [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Kärntner Elektrizitätswerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;29.06.2021
 Geländehöhe:              ;504,78
 Messpunkthöhe:            ;505,23
 Sohllage:                 ;500,84
 T-Messtiefe u.GOK:        ;3,35
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1968               ;13 48 33                 ;46 34 22
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2018 HG31 Messstelle zeitweise nicht zugänglich
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.02.1968 07:01:00   ;   503,53 ;     
17.03.1969 07:01:00   ;   503,69 ;     
13.04.1970 07:01:00   ;   503,67 ;     
22.03.1971 07:01:00   ;   503,67 ;     
24.04.1972 07:01:00   ;   503,66 ;     
01.10.1973 07:01:00   ;   504,13 ;     
14.10.1974 07:01:00   ;   503,34 ;     
07.04.1975 07:01:00   ;   504,10 ;     
08.11.1976 07:01:00   ;   503,53 ;     
28.02.1977 07:01:00   ;   503,61 ;     
21.07.1978 07:01:00   ;   503,65 ;     
11.05.1979 07:01:00   ;   503,59 ;     
11.07.1980 07:01:00   ;   503,90 ;     
29.05.1981 07:01:00   ;   503,32 ;     
20.12.1982 07:01:00   ;   503,50 ;     
01.01.1983 00:00:05   ;   503,21 ;     
09.04.1984 07:01:00   ;   503,40 ;     
06.05.1985 07:01:00   ;   503,61 ;     
28.04.1986 07:01:00   ;   503,34 ;     
06.04.1987 07:01:00   ;   503,46 ;     
08.02.1988 07:01:00   ;   503,14 ;     
03.07.1989 07:01:00   ;   503,52 ;     
26.11.1990 07:01:00   ;   503,62 ;     
25.11.1991 07:01:00   ;   503,50 ;     
07.12.1992 07:01:00   ;   503,61 ;     
25.10.1993 07:01:00   ;   503,77 ;     
10.01.1994 07:01:00   ;   503,27 ;     
26.06.1995 07:01:00   ;   503,11 ;     
18.11.1996 07:01:00   ;   503,82 ;     
29.12.1997 07:30:00   ;   502,77 ;     
12.10.1998 07:30:00   ;   503,49 ;     
04.10.1999 07:30:00   ;   503,02 ;     
22.11.2000 07:30:00   ;   503,84 ;     
15.01.2001 07:30:00   ;   503,18 ;     
25.11.2002 07:30:00   ;   503,59 ;     
03.11.2003 07:30:00   ;   503,58 ;     
01.11.2004 07:30:00   ;   503,48 ;     
10.10.2005 07:30:00   ;   503,26 ;     
03.04.2006 07:30:00   ;   503,10 ;     
02.04.2007 07:30:00   ;   502,64 ;     
03.11.2008 07:30:00   ;   503,39 ;     
28.12.2009 07:30:00   ;   503,57 ;     
15.11.2010 07:30:00   ;   503,56 ;     
20.06.2011 07:30:00   ;   503,22 ;     
05.11.2012 07:30:00   ;   504,24 ;     
25.11.2013 07:30:00   ;   503,59 ;     
17.02.2014 07:30:00   ;   503,67 ;     
19.10.2015 07:30:00   ;   503,28 ;     
07.03.2016 07:30:00   ;   503,47 ;     
18.09.2017 07:30:00   ;   503,58 ;     
05.11.2018 07:30:00   ;   503,45 ;     
18.11.2019 16:11:00   ;   504,11 ;     
12.10.2020 14:31:00   ;   503,61 ;     
31.05.2021 15:01:00   ;   503,36 ;     
