Messstelle:                ;Strassen, Bl 22 (Sa409)
HZB-Nummer:                ;346015
HD-Nummer:                 ;
DBMS-Nummer:               ;7002267
Fremdnummer:               ;GW70729011
PorenGW-Gebiet:            ;404 Pustertal
Grundwasserkörper:         ;Gruppe Zentralzone [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1984
 Geländehöhe:              ;1067,40
 Messpunkthöhe:            ;1068,20
 Sohllage:                 ;1059,80
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1984               ;12 28 18                 ;46 44 56
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.06.1984 07:01:00   ;  1066,27 ;     
19.09.1994 07:01:00   ;  1065,70 ;     
12.06.1995 07:01:00   ;  1065,55 ;     
21.10.1996 07:01:00   ;  1065,95 ;     
30.06.1997 07:01:00   ;  1065,84 ;     
12.10.1998 07:01:00   ;  1066,08 ;     
25.05.1999 12:24:00   ;  1065,62 ;     
16.10.2000 14:15:00   ;  1066,52 ;     
28.05.2001 07:30:00   ;  1065,60 ;     
20.11.2002 09:20:00   ;  1066,37 ;     
12.07.2004 09:35:00   ;  1065,49 ;     
10.10.2005 13:30:00   ;  1066,03 ;     
03.04.2006 07:20:00   ;  1065,65 ;     
03.04.2007 17:00:00   ;  1065,56 ;     
10.08.2008 16:45:00   ;  1065,69 ;     
27.05.2009 05:00:00   ;  1066,06 ;     
25.03.2010 16:30:00   ;  1065,76 ;     
20.06.2011 06:15:00   ;  1066,11 ;     
12.11.2012 19:00:00   ;  1066,55 ;     
12.05.2013 11:15:00   ;  1066,21 ;     
09.11.2014 03:45:00   ;  1066,72 ;     
17.10.2015 17:30:00   ;  1065,78 ;     
11.08.2016 07:00:00   ;  1066,22 ;     
25.07.2017 09:30:00   ;  1066,13 ;     
30.10.2018 02:00:00   ;  1067,49 ;     
19.11.2019 01:15:00   ;  1066,11 ;     
31.08.2020 21:15:00   ;  1066,83 ;     
03.04.2021 01:15:00   ;  1066,35 ;     
