Messstelle:                ;Markthof, Bl 1880.1
HZB-Nummer:                ;327494
HD-Nummer:                 ;3HD30801
DBMS-Nummer:               ;10001050
Fremdnummer:               ;1880.001
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.04.2013
 Geländehöhe:              ;141,03
 Messpunkthöhe:            ;142,24
 Sohllage:                 ;135,84
 T-Messtiefe u.GOK:        ;6,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 57 47                 ;48 10 47
  01.01.2010               ;16 57 48                 ;48 10 46
  01.01.2007               ;16 57 48                 ;48 10 46
  01.01.1982               ;16 57 50                 ;48 10 46
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.02.1982 07:01:00   ;   139,14 ;     
19.05.1983 07:01:00   ;   137,99 ;     
04.10.1984 07:01:00   ;   137,57 ;     
09.08.1985 07:01:00   ;   141,84 ;     
05.06.1986 07:01:00   ;   138,07 ;     
01.07.1987 07:01:00   ;   138,69 ;     
31.03.1988 07:01:00   ;   141,18 ;     
01.01.1989 00:00:05   ;   137,85 ;     
19.07.1990 07:01:00   ;   137,70 ;     
05.08.1991 07:01:00   ;   142,93 ;     
26.11.1992 07:01:00   ;   139,02 ;     
22.07.1993 07:01:00   ;   138,42 ;     
28.04.1994 07:01:00   ;   139,04 ;     
29.06.1995 07:01:00   ;   138,84 ;     
31.10.1996 07:01:00   ;   139,32 ;     
10.07.1997 07:01:00   ;   140,93 ;     
19.11.1998 07:01:00   ;   138,33 ;     
27.05.1999 07:01:00   ;   139,43 ;     
06.04.2000 07:01:00   ;   138,74 ;     
05.04.2001 07:01:00   ;   138,12 ;     
19.09.2002 07:01:00   ;   140,07 ;     
11.02.2003 07:01:00   ;   138,70 ;     
06.04.2006 07:01:00   ;   141,03 ;     
09.09.2007 10:30:30   ;   141,34 ;     
01.01.2008 00:00:05   ;   138,01 ;     
29.06.2009 20:48:55   ;   142,52 ;     
05.06.2010 07:00:00   ;   142,25 ;     
16.01.2011 07:00:00   ;   141,42 ;     
29.06.2012 01:00:00   ;   137,80 ;     
06.06.2013 03:00:00   ;   143,74 ;     
19.09.2014 05:00:00   ;   137,88 ;     
30.05.2015 00:00:00   ;   138,00 ;     
19.07.2016 13:00:00   ;   138,12 ;     
19.05.2017 10:00:00   ;   137,63 ;     
02.02.2018 07:00:00   ;   137,95 ;     
15.06.2019 07:00:00   ;   138,41 ;     
10.08.2020 17:00:00   ;   137,70 ;     
24.07.2021 18:00:00   ;   139,00 ;     
