Messstelle:                ;Pfunds-Birkach, Bl 6 (038)
HZB-Nummer:                ;342451
HD-Nummer:                 ;
DBMS-Nummer:               ;7004293
Fremdnummer:               ;GW70617027
PorenGW-Gebiet:            ;024 Oberes Gericht
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.11.1986
 Geländehöhe:              ;946,49
 Messpunkthöhe:            ;947,09
 Sohllage:                 ;934,79
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  24.11.1986               ;10 33 42                 ;46 58 53
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2006 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.07.1987 08:23:00   ;   943,38 ;     
17.06.1988 23:00:00   ;   942,95 ;     
12.07.1989 07:15:00   ;   942,68 ;     
02.07.1990 00:15:00   ;   942,90 ;     
17.06.1991 13:15:00   ;   943,39 ;     
03.06.1992 10:00:00   ;   943,13 ;     
15.10.1993 14:30:00   ;   942,71 ;     
25.06.1994 23:15:00   ;   942,62 ;     
04.07.1995 13:00:00   ;   942,54 ;     
07.06.1996 23:00:00   ;   941,97 ;     
29.06.1997 22:30:00   ;   943,33 ;     
08.06.1998 14:45:00   ;   942,86 ;     
09.07.2004 11:00:00   ;   942,97 ;     
01.06.2005 01:00:00   ;   942,39 ;     
29.06.2006 15:00:00   ;   942,63 ;     
16.06.2007 10:30:00   ;   942,09 ;     
14.07.2008 10:00:00   ;   943,11 ;     
16.06.2009 20:30:00   ;   942,98 ;     
11.06.2010 21:30:00   ;   943,31 ;     
27.05.2011 21:00:00   ;   942,36 ;     
22.06.2012 07:00:00   ;   942,91 ;     
21.06.2013 08:00:00   ;   942,99 ;     
13.08.2014 23:30:00   ;   942,88 ;     
08.06.2015 19:00:00   ;   943,06 ;     
17.06.2016 21:00:00   ;   943,10 ;     
06.06.2017 20:00:00   ;   942,48 ;     
30.05.2018 21:00:00   ;   942,77 ;     
12.06.2019 21:30:00   ;   943,88 ;     
30.08.2020 14:00:00   ;   942,61 ;     
21.06.2021 18:30:00   ;   942,74 ;     
