Messstelle:                ;Pernau, Br 26.5
HZB-Nummer:                ;376038
HD-Nummer:                 ;W26.5
DBMS-Nummer:               ;4002970
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.11.2013
 Geländehöhe:              ;304,87
 Messpunkthöhe:            ;305,56
 Sohllage:                 ;295,90
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 04 31                 ;48 10 44
  01.01.2003               ;14 04 35                 ;48 10 46
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1988 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.06.1987 07:01:00   ;   299,25 ;     
28.04.1988 07:01:00   ;   299,67 ;     
19.01.1989 07:01:00   ;   298,98 ;     
19.07.1990 07:01:00   ;   299,04 ;     
26.09.1991 07:01:00   ;   299,42 ;     
09.04.1992 07:01:00   ;   299,05 ;     
30.09.1993 07:01:00   ;   299,49 ;     
13.05.1994 07:01:00   ;   299,53 ;     
28.09.1995 07:01:00   ;   299,16 ;     
13.06.1996 07:01:00   ;   299,54 ;     
18.09.1997 07:01:00   ;   299,32 ;     
01.01.1998 00:00:05   ;   298,81 ;     
25.03.1999 07:01:00   ;   299,13 ;     
13.04.2000 07:01:00   ;   299,22 ;     
03.05.2001 07:01:00   ;   299,10 ;     
15.08.2002 07:01:00   ;   299,44 ;     
13.01.2003 07:01:00   ;   299,54 ;     
10.06.2004 07:01:00   ;   298,85 ;     
28.04.2005 07:01:00   ;   299,27 ;     
04.05.2006 07:01:00   ;   299,81 ;     
29.03.2007 07:01:00   ;   298,87 ;     
01.01.2008 00:00:05   ;   298,82 ;     
30.07.2009 07:01:00   ;   299,63 ;     
05.08.2010 07:01:00   ;   299,14 ;     
14.04.2011 07:01:00   ;   298,57 ;     
08.08.2012 07:01:00   ;   298,90 ;     
27.06.2013 07:01:00   ;   299,74 ;     
30.10.2014 07:01:00   ;   298,95 ;     
25.06.2015 07:01:00   ;   298,97 ;     
19.07.2016 07:01:00   ;   299,10 ;     
15.05.2017 07:01:00   ;   298,91 ;     
05.02.2018 07:01:00   ;   299,12 ;     
21.06.2019 07:01:00   ;   298,68 ;     
07.08.2020 07:01:00   ;   298,86 ;     
06.08.2021 07:01:00   ;   298,86 ;     
