Messstelle:                ;Feistritz i.R., Bl 507
HZB-Nummer:                ;338178
HD-Nummer:                 ;
DBMS-Nummer:               ;2002111
PorenGW-Gebiet:            ;435 Rosental
Grundwasserkörper:         ;Rosental [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.09.2021
 Geländehöhe:              ;436,69
 Messpunkthöhe:            ;437,94
 Sohllage:                 ;426,53
 T-Messtiefe u.GOK:        ;8,75
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  04.05.1965               ;14 13 21                 ;46 32 09
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.12.1992 07:01:00   ;   433,17 ;     
25.10.1993 07:01:00   ;   433,14 ;     
25.04.1994 07:01:00   ;   432,76 ;     
27.03.1995 07:01:00   ;   432,80 ;     
02.12.1996 07:01:00   ;   432,94 ;     
29.12.1997 07:30:00   ;   432,58 ;     
14.09.1998 07:30:00   ;   432,89 ;     
06.09.1999 07:30:00   ;   432,89 ;     
27.11.2000 07:30:00   ;   433,90 ;     
15.01.2001 07:30:00   ;   432,78 ;     
09.12.2002 07:30:00   ;   432,82 ;     
08.12.2003 07:30:00   ;   432,64 ;     
12.07.2004 07:30:00   ;   433,00 ;     
17.10.2005 07:30:00   ;   432,67 ;     
03.04.2006 07:30:00   ;   433,27 ;     
09.04.2007 07:30:00   ;   432,59 ;     
22.12.2008 07:30:00   ;   433,33 ;     
06.04.2009 07:30:00   ;   433,15 ;     
04.01.2010 07:30:00   ;   433,07 ;     
01.01.2011 00:00:05   ;   432,76 ;     
12.11.2012 07:30:00   ;   433,54 ;     
02.12.2013 07:30:00   ;   433,15 ;     
24.02.2014 07:30:00   ;   433,87 ;     
19.10.2015 07:30:00   ;   433,24 ;     
14.03.2016 07:30:00   ;   433,17 ;     
18.12.2017 12:00:00   ;   433,24 ;     
01.01.2018 00:00:05   ;   433,06 ;     
25.11.2019 17:22:00   ;   433,59 ;     
19.10.2020 14:15:00   ;   433,32 ;     
15.02.2021 14:42:00   ;   432,82 ;     
