Messstelle:                ;Kleinhöflein, Br 24
HZB-Nummer:                ;335216
HD-Nummer:                 ;
DBMS-Nummer:               ;1002230
PorenGW-Gebiet:            ;313 Wulkatal
Grundwasserkörper:         ;Gruppe Wulkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1990
 Geländehöhe:              ;204,09
 Messpunkthöhe:            ;204,14
 Sohllage:                 ;199,50
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1990               ;16 30 07                 ;47 50 30
  31.12.1989               ;16 30 03                 ;47 50 29
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2017 HG25 GWS-Messung häufig unzugänglich
  2018 HG31 Messstelle zeitweise nicht zugänglich
  2019 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.02.1990 07:01:00   ;   202,01 ;     
31.12.1991 23:59:55   ;   202,07 ;     
28.03.1992 07:01:00   ;   202,14 ;     
02.01.1993 07:01:00   ;   202,14 ;     
18.06.1994 07:01:00   ;   202,17 ;     
27.05.1995 07:01:00   ;   202,18 ;     
05.04.1996 07:01:00   ;   202,24 ;     
05.04.1997 14:00:00   ;   202,19 ;     
04.07.1998 14:00:00   ;   202,13 ;     
01.05.1999 14:00:00   ;   202,10 ;     
15.04.2000 14:00:00   ;   202,14 ;     
27.01.2001 14:00:00   ;   201,97 ;     
23.03.2002 14:00:00   ;   202,07 ;     
25.10.2003 14:00:00   ;   202,04 ;     
31.12.2004 23:59:55   ;   202,01 ;     
31.12.2005 23:59:55   ;   202,10 ;     
07.01.2006 14:00:00   ;   202,11 ;     
15.12.2007 14:00:00   ;   202,34 ;     
01.01.2008 00:00:05   ;   202,23 ;     
12.07.2009 14:00:00   ;   202,34 ;     
20.06.2010 14:00:00   ;   202,24 ;     
08.05.2011 14:00:00   ;   202,19 ;     
22.01.2012 14:00:00   ;   202,14 ;     
31.03.2013 14:00:00   ;   202,30 ;     
25.05.2014 14:00:00   ;   202,27 ;     
11.01.2015 14:00:00   ;   202,21 ;     
06.11.2016 14:00:00   ;   202,16 ;     
05.02.2017 14:00:00   ;   202,14 ;     
02.09.2018 11:00:00   ;   202,14 ;     
02.06.2019 09:45:00   ;   202,16 ;     
19.10.2020 11:08:00   ;   202,20 ;     
01.08.2021 11:26:00   ;   202,11 ;     
