Messstelle:                ;Pergkirchen, Bl 2096.021
HZB-Nummer:                ;316620
HD-Nummer:                 ;2096.021
DBMS-Nummer:               ;4002379
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.02.1972
 Geländehöhe:              ;242,10
 Messpunkthöhe:            ;242,75
 Sohllage:                 ;236,45
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 41 02                 ;48 13 36
  01.01.2003               ;14 41 07                 ;48 13 39
  15.02.1972               ;14 41 07                 ;48 13 39
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.07.1972 07:01:00   ;   239,99 ;     
13.03.1973 07:01:00   ;   239,35 ;     
30.12.1974 07:01:00   ;   240,13 ;     
01.01.1975 00:00:05   ;   240,09 ;     
27.01.1976 07:01:00   ;   239,60 ;     
15.02.1977 07:01:00   ;   239,93 ;     
18.04.1978 07:01:00   ;   238,90 ;     
10.04.1979 07:01:00   ;   240,09 ;     
28.04.1980 07:01:00   ;   239,84 ;     
10.02.1981 07:01:00   ;   239,98 ;     
01.02.1982 07:01:00   ;   239,88 ;     
01.02.1983 07:01:00   ;   239,21 ;     
14.02.1984 07:01:00   ;   238,89 ;     
12.08.1985 07:01:00   ;   239,38 ;     
20.01.1986 07:01:00   ;   239,52 ;     
24.03.1987 07:01:00   ;   239,50 ;     
15.03.1988 07:01:00   ;   240,02 ;     
02.05.1989 07:01:00   ;   239,69 ;     
20.02.1990 07:01:00   ;   239,00 ;     
06.08.1991 07:01:00   ;   239,75 ;     
24.03.1992 07:01:00   ;   239,67 ;     
16.03.1993 07:01:00   ;   239,41 ;     
19.04.1994 07:01:00   ;   239,97 ;     
27.12.1995 07:01:00   ;   239,35 ;     
14.05.1996 07:01:00   ;   240,18 ;     
16.12.1997 07:01:00   ;   239,03 ;     
15.12.1998 07:01:00   ;   239,55 ;     
23.02.1999 07:01:00   ;   239,90 ;     
07.03.2000 07:01:00   ;   239,27 ;     
10.04.2001 07:01:00   ;   239,35 ;     
13.08.2002 07:01:00   ;   240,43 ;     
28.01.2003 07:01:00   ;   239,90 ;     
30.03.2004 07:01:00   ;   239,20 ;     
12.07.2005 07:01:00   ;   239,88 ;     
04.04.2006 07:01:00   ;   239,86 ;     
16.12.2007 07:01:00   ;   239,09 ;     
22.03.2008 07:01:00   ;   239,13 ;     
24.07.2009 07:01:00   ;   240,23 ;     
15.04.2010 07:01:00   ;   239,40 ;     
21.01.2011 07:01:00   ;   238,85 ;     
02.03.2012 07:01:00   ;   239,07 ;     
07.06.2013 07:01:00   ;   240,10 ;     
05.06.2014 07:01:00   ;   238,81 ;     
03.04.2015 07:01:00   ;   239,08 ;     
14.07.2016 07:01:00   ;   240,10 ;     
24.03.2017 07:01:00   ;   239,06 ;     
25.01.2018 07:01:00   ;   239,15 ;     
20.03.2019 07:01:00   ;   238,82 ;     
06.08.2020 07:01:00   ;   239,40 ;     
03.02.2021 07:01:00   ;   239,07 ;     
