Messstelle:                ;Teichlbrücke
HZB-Nummer:                ;205823
HD-Nummer:                 ;8430
DBMS-Nummer:               ;4001125
Gewässer:                  ;Teichl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;148,6

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1919              ;571,19
   01.01.1978              ;570,19
   01.07.1981              ;571,17

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1971              ;522179,00 - 287976,00
   01.01.2018              ;522181,26 - 287976,19

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1919              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.07.1981    31.01.2023;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.2011    31.01.2023;2111002240-3/OWF-W/Schwimmer (Winkelcod.)-digitalisiert
   31.01.2023              ;2111002240-8/OWF-W/Schwimmer (Winkelcod.)-DFÜ -> Datensammler
   26.06.2001    31.01.2023;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.2011    31.01.2023;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.10.2015    01.05.2016;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   31.01.2023              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1980              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1983    01.01.1998;2161003310-2/OWF-WT/Metal-Schreibstreifen manuell
   01.01.1998    31.01.2023;2161003310-3/OWF-WT/Metal-digitalisiert
   26.06.2001    31.01.2023;2161003320-4/OWF-WT/Hleiter-Datensammler
   31.01.2023              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-WT/Im Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Nov nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2000    31.12.2000;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2002    31.12.2002;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Feb,Mai,Jun,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2008    31.12.2008;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Dez durch Eis beeinflusst
   01.01.2012    31.12.2012;OWF-Q/Im Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Feb,Okt nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Okt nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2020    31.12.2020;OWF-Q/Im Jun,Jul nach ergänzten Wasserständen ermittelt

