Messstelle:                ;Schwendt-Unterbichl
HZB-Nummer:                ;202549
HD-Nummer:                 ;
DBMS-Nummer:               ;7004098
Gewässer:                  ;Kohlenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;47,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   23.07.1998              ;642,42
   25.03.2010              ;642,30

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   23.07.1998              ;378938,00 - 276236,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   23.07.1998              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   23.07.1998    01.10.2008;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   12.07.2001              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   14.02.2018              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   23.07.1998              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   23.05.2012              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   23.05.2012              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Apr,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Aug nach ergänzten Wasserständen ermittelt

