Messstelle:                ;Thiersee (Seepegel)
HZB-Nummer:                ;202242
HD-Nummer:                 ;
DBMS-Nummer:               ;7001173
Gewässer:                  ;Thiersee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;6

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.02.1990              ;615,82
   07.04.2009              ;615,79

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   26.02.1990              ;358730,39 - 273318,86

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   26.02.1990              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   24.09.1997              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   19.07.2005              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   19.07.2005              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Seeschleuse beeinflusst
   01.01.1997              ;OWF-W/Seefläche 0,251 km²
   01.01.2010    31.12.2010;OWF-WT/Im Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Mrz,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-WT/Seefläche 0,251 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/vom 8. Okt bis 7. Nov Absenkung des Seewasserspiegels
   01.01.2021    31.12.2021;OWF-W/vom 21. Okt bis 1. Nov Datenlücke aufgrund Seeabsenkung

