Messstelle:                ;Steyr (Ortskai)
HZB-Nummer:                ;205922
HD-Nummer:                 ;8910
DBMS-Nummer:               ;4001134
Gewässer:                  ;Enns
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;5915,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1962              ;283,97
   02.02.2011              ;280,97

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;531450,00 - 323340,00
   09.06.2009              ;531467,00 - 323357,00
   01.01.2020              ;531466,66 - 323357,09

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1962              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1962    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.2020              ;2111002240-8/OWF-W/Schwimmer (Winkelcod.)-DFÜ -> Datensammler
   01.01.2009              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.2011              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.2020              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.2011              ;2111006410-3/OWF-W/Pneumatic (direkt)-digitalisiert
   10.01.2011              ;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   29.04.1988              ;2111006430-4/OWF-W/Pneumatic (Potentiom.)-Datensammler
   01.01.1993              ;2111006440-8/OWF-W/Pneumatic (Winkelcod.)-DFÜ -> Datensammler
   01.01.2011              ;2111006440-8/OWF-W/Pneumatic (Winkelcod.)-DFÜ -> Datensammler
   01.01.1965              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1962              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.03.2011              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler
   01.01.2005              ;2181004610-4/OWF-FS/ Trübung [FNU)-Datensammler
   01.01.1976              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   01.01.2005              ;2281004610-4/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-WT/HHT 19,0 Grad C am 20. Aug 1943 aus Beobachtungszeitraum
   01.01.1996    31.12.2008;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.2008;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.2008;OWF-WT/Jul 1931 bis Dez 1961 (vor Beobachtungsbeginn Wasserstand)
   01.01.1996    31.12.1996;OWF-Q/Im Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997    31.12.1997;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/vom 13. Feb bis 14. Jun Stau durch Brückenbau
   01.01.2002    31.12.2002;OWF-Q/vom 13. Feb bis 14. Jun Stau durch Brückenbau
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez trocken
   01.01.2005    31.12.2005;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Aug nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez trocken
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/von Jän bis Jul nach ergänzten Daten ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Mrz,Apr,Mai,Jun,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/ab 24. Nov Hochwasserschutzbaggerungen
   01.01.2010    31.12.2010;OWF-Q/ab 24. Nov Hochwasserschutzbaggerungen
   01.01.2010    31.12.2010;OWF-Q/vom 16. bis 30. Mrz und ab 24. Nov durch Baggerungen beeinfl. | vom 27. Okt bis 5. Nov durch Laub im Wasser beeinflusst
   01.01.2011              ;OWF-Q/Summe aus Jägerberg/Enns und Pergern/Steyr
   01.01.2011    31.12.2011;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/am 2. Feb PNP um 3m gesenkt | bis 30. Apr Hochwasserschutzbaggerungen
   01.01.2011    31.12.2011;OWF-Q/bis 30. Apr Hochwasserschutzbaggerungen
   01.01.2011    31.12.2011;OWF-Q/vom Apr bis Dez zeitweise nach ergänzten Daten ermittelt | bis 30. Apr Hochwasserschutzbaggerungen | am 14. Jän Spitze durch Tauwetter und starke Niederschläge
   01.01.2012    31.12.2012;OWF-Q/im Mrz und Mai nach ergänzten Daten ermittelt
   01.01.2013              ;OWF-Q/Q aus Jägerberg/Enns und Pergern/Steyr
   01.01.2013    31.12.2013;OWF-Q/im Mai, Okt, Nov zeitweise nach ergänzten Daten ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/von Jän bis Jun und im Okt zw nach ergänzten Daten ermittelt
   01.01.2015    31.12.2015;OWF-Q/im Feb, Mrz, Apr, Jun, Jul, Aug, Sep und Nov nach ergänzten Daten ermittelt
   01.01.2016    31.12.2016;OWF-Q/von Feb bis Aug, Okt und Nov zeitweise nach ergänzten Daten ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Jun, Jul, Aug, Okt zeitweise nach ergänzten Daten ermittelt
