Messstelle:                ;St. Pankraz
HZB-Nummer:                ;205831
HD-Nummer:                 ;8490
DBMS-Nummer:               ;4001126
Gewässer:                  ;Teichl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Ennskraft
orogr.Einzugsgebiet [km²]: ;232,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;484,58

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;515696,00 - 292271,00
   27.07.2011              ;515682,00 - 292272,00
   01.01.2018              ;515693,05 - 292270,16

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1976              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.2011              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   05.05.2003              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.2011              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.2000              ;2111002240-6/OWF-W/Schwimmer (Winkelcod.)-Fernübertragung (DFÜ)
   01.01.2000              ;2111002240-8/OWF-W/Schwimmer (Winkelcod.)-DFÜ -> Datensammler
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der EKW u. d. HD Oberösterreich
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der EKW u. d. HD Oberösterreich
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz,Mai,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Aug,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998              ;OWF-W/Niederwasserextremwerte beeinflusst
   01.01.1998              ;OWF-Q/Niederwasserextremwerte beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Aug,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2016    31.12.2016;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Aug nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Mai,Jun,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt

