Messstelle:                ;Melk (Strom-km 2035,98)
HZB-Nummer:                ;207134
HD-Nummer:                 ;
DBMS-Nummer:               ;10001003
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;94813,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1844              ;204,88
   01.11.1939              ;203,07
   01.01.1952              ;203,02
   01.01.1959              ;202,97
   01.01.1982              ;199,97

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1844              ;675354,90 - 344564,30
   01.01.2010              ;675464,69 - 344428,18

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1844              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1954    01.01.1997;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1997              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   03.11.2010              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   03.11.2010              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   01.03.2002    03.11.2010;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   20.10.2020              ;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.03.2002    03.11.2010;2111006410-6/OWF-W/Pneumatic (direkt)-Fernübertragung (DFÜ)
   01.01.1951              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.03.2002              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.03.2002              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   02.11.2010              ;2161004310-6/OWF-WT/Thermoelement-Fernübertragung (DFÜ)

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.2003;OWF-Q/im Jahrbuch nicht veröffentlicht
   01.01.1996    31.12.2012;OWF-Q/nach Pegelschlüsseln der via donau - Öster. Wasserstraßen GmbH
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Mrz,Jun,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2001    31.12.2001;OWF-Q/Im Mrz,Mai,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2012;OWF-Q/Durchflussmessungen erfolgen 1,5 km unterhalb des Pegelprofils
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
