Messstelle:                ;Weichselboden
HZB-Nummer:                ;210880
HD-Nummer:                 ;ow1700
DBMS-Nummer:               ;6001039
Gewässer:                  ;Radmerbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;54,1

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;668,63

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.07.1967              ;662803,30 - 282524,20
   01.01.2018              ;662794,90 - 282500,30

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.07.1967              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.07.1967    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    02.08.2000;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   02.08.2000    20.09.2001;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   26.09.2001              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1971              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   26.09.2001              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   26.09.2001              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Niederwasser beeinflusst
   01.01.1996              ;OWF-Q/Niederwasser beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Feb,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Feb,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Aug nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jän,Feb,Mrz,Aug nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/ab 8. Aug Profil durch Geröll nach HW instabil
   01.01.2006    31.12.2006;OWF-Q/ab 8. Aug Profil durch Geröll nach HW instabil
   01.01.2010    31.12.2010;OWF-Q/Im Jul,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Jun,Jul,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/ab 1. Sep Pegel durch HW zerstört
   01.01.2010    31.12.2010;OWF-Q/ab 1. Sep Pegel durch HW zerstört
   01.01.2010    31.12.2010;OWF-WT/ab 1. Sep Pegel durch HW zerstört
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/bis 16. Mrz Pegel durch HW zerstört
   01.01.2011    31.12.2011;OWF-Q/bis 16. Mrz Pegel durch HW zerstört
   01.01.2011    31.12.2011;OWF-WT/bis 16. Mrz Pegel durch HW zerstört
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Mrz,Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Apr,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Nov,Dez durch Eis beeinflusst
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt

