Messstelle:                ;Haging
HZB-Nummer:                ;204750
HD-Nummer:                 ;2660
DBMS-Nummer:               ;4001024
Gewässer:                  ;Antiesen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;164,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1928              ;378,67
   01.01.2016              ;377,67

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;458740,00 - 348320,00
   25.03.2020              ;458736,23 - 348311,17

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1928              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1968    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   19.09.1988    16.03.2016;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   20.09.1988    16.03.2016;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   16.03.2016              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.1976    16.03.2016;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   03.02.1999              ;2111006440-4/OWF-W/Pneumatic (Winkelcod.)-Datensammler
   16.03.2016              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1979              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1988    01.01.1998;2161003310-2/OWF-WT/Metal-Schreibstreifen manuell
   01.01.2010    16.03.2016;2161003320-4/OWF-WT/Hleiter-Datensammler
   16.03.2016              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-WT/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-WT/Im Mrz,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
