Messstelle:                ;Götzendorf
HZB-Nummer:                ;215517
HD-Nummer:                 ;no836
DBMS-Nummer:               ;3003174
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1709,6

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2015              ;167,62

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;768815,00 - 319168,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.03.2015              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   08.07.2015              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.03.2015              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb,Apr,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-W/am 8. Jul Beobachtungsbeginn
   01.01.2015    31.12.2015;OWF-Q/am 8. Jul Beobachtungsbeginn
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2019              ;OWF-W/Pegel liegt in der Restwasserstrecke
   01.01.2019              ;OWF-Q/Pegel liegt in der Restwasserstrecke
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/vom 7. bis 9. und vom 17. bis 19. Okt Leithakanalabkehr
   01.01.2019    31.12.2019;OWF-Q/vom 7. bis 9. und vom 17. bis 19. Okt Leithakanalabkehr
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-W/vom 4. bis 6. Okt Bachabkehr im Leithakanal
   01.01.2021    31.12.2021;OWF-Q/vom 4. bis 6. Okt Bachabkehr im Leithakanal

