Messstelle:                ;Innsbruck (oberh. Sill)
HZB-Nummer:                ;201525
HD-Nummer:                 ;
DBMS-Nummer:               ;7001049
Gewässer:                  ;Inn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;5771,6

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1870              ;568,43
   01.01.1898              ;569,04
   01.02.1940              ;568,04
   30.09.1961              ;568,43
   01.01.1978              ;565,95
   01.09.2006              ;568,46

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1870              ;230463,00 - 237964,00
   01.01.1978              ;230470,00 - 237965,00
   01.09.2006              ;229310,00 - 236447,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1870              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1910    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   13.03.2017              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.05.1997              ;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.05.1997              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1965              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1910              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.11.1936              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1998              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ
   01.01.1977    01.01.1998;2161004310-2/OWF-WT/Thermoelement-Schreibstreifen manuell
   13.03.2017              ;2191001310-1/OWF-FS/gel.Inh.St. (LF)-händische Messung
   13.03.2017              ;2191001310-9/OWF-FS/gel.Inh.St. (LF)-Datensammler -> DFÜ
   04.11.2003              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   11.05.2015              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   13.05.2015              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   04.11.2003              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Feb,Mrz,Apr,Mai,Jun,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Dez durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-WT/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/am 18. Apr Profilarbeiten und ab 1. Sep neuer Pegel
   01.01.2006    31.12.2006;OWF-Q/am 18. Apr Profilarbeiten und ab 1. Sep neuer Pegel
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2008    31.12.2008;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2008    31.12.2008;OWF-WT/durch Kraftwerksbetrieb beeinflusst
   01.01.2008    31.12.2008;OWF-Q/im Mrz und Okt nach ergänzten Daten ermittelt | Ende Mai Schmelzhochwasser
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mai nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/im Mai Schmelzhochwasser | im Feb nach ergänzten Daten ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/vom 10. bis 13. Jän durch Bauarbeiten beeinflusst | im Okt und Nov nach ergänzten Daten ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/im Jän, Okt und Nov nach ergänzten Daten ermittelt | am 5. Sep Spitze d. starke Niederschläge im EG der Ötztaler Ache
   01.01.2012    31.12.2012;OWF-Q/Im Apr,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/am 26. Aug Spitze durch starke Niederschläge im EG
   01.01.2013    31.12.2013;OWF-Q/Im Apr,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/am 7. Jän Spitze durch Absenkung des Gepatschspeichers
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/im Jän, Feb, Apr, Nov und Dez nach ergänzten Daten ermittelt | am 7. Jun Spitze durch Vermurungen im Sellraintal
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/im Mrz, Apr, Nov und Dez zeitweise nach ergänzten Daten ermittelt | am 24. Jun Spitze durch Murenabgang am Malchbach | am 11. Sep Spitze durch Murgänge im Einzugsgebiet der Sanna
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Mrz, Apr, Nov, Dez zeitweise nach ergänzten Daten ermittelt | am 30. Jul Spitze durch Gewitter | am 31. Jul Spitze durch Murgang am Lattenbach
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/am 2. Aug Spitze durch Murgang am Schnannerbach und Unwetter im restlichen Oberland | am 30. Aug Spitze durch Murgänge und Überschwemmungen im Raum Imst
   01.01.2019    31.12.2019;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/am 11. und 12. Jun Spitzen durch Hochwasser | am 1. Sep Spitze durch Murgang am Dawinbach
   01.01.2020    31.12.2020;OWF-Q/Im Mrz nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/am 30. Aug und 4. Okt Spitzen infolge starker Niederschläge am Alpenhauptkamm
   01.01.2021    31.12.2021;OWF-Q/am 17. Aug Spitze infolge starker Niederschläge und Murgänge im Einzugsgebiet

