Messstelle:                ;Windpassing
HZB-Nummer:                ;207910
HD-Nummer:                 ;no230
DBMS-Nummer:               ;3001031
Gewässer:                  ;Traisen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;733,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1953              ;294,13
   01.01.1976              ;294,15

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1919              ;698484,10 - 334301,90
   01.01.1932              ;698505,00 - 334330,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1919              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1932    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1919              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   11.09.1997    04.10.2018;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   04.10.2018              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1971              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.04.1975    07.04.2014;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1981    01.01.1998;2161003320-2/OWF-WT/Hleiter-Schreibstreifen manuell
   01.01.1998              ;2161003320-3/OWF-WT/Hleiter-digitalisiert
   11.09.1997    04.10.2018;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ
   04.10.2018              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ
   07.04.2014              ;2161003323-1/OWF-WT/Hleiter (mobil)-händische Messung
   16.04.2003              ;2281001210-1/OWF-FS/Schwebstoff (Vol.)-händische Messung
   16.04.2003    13.01.2005;2281004610-4/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler
   13.01.2005              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-WT/Im Jän,Feb,Mrz,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/durch Julihochwasser Profileintiefung
   01.01.1997    31.12.1997;OWF-Q/durch Julihochwasser Profileintiefung
   01.01.1998    31.12.1998;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/vom 4. bis 6. Sep Gurtsanierung
   01.01.2000    31.12.2000;OWF-Q/vom 4. bis 6. Sep Gurtsanierung
   01.01.2000    31.12.2000;OWF-WT/vom 20. bis 30. Dez Datensammlerausfall
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2001    31.12.2001;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/vom 6. Sep bis 5. Okt Datenausfall
   01.01.2003    31.12.2003;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/von Ende Mai bis Ende Jul Brückenneubau
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/vom 1. bis 18. Jän Datenausfall | vom 14. Nov bis 31. Dez Datenausfall
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
