Messstelle:                ;Podersdorf am See (Badebucht)
HZB-Nummer:                ;210153
HD-Nummer:                 ;
DBMS-Nummer:               ;1001015
Gewässer:                  ;Neusiedler See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1230

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1955              ;114,01
   01.01.1976              ;113,95
   01.07.1992              ;114,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1931              ;787100,00 - 302500,00
   05.10.2018              ;787163,95 - 302508,70

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1931              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   09.04.1992    31.05.2000;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   31.05.2000              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   26.09.2002              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.08.1956              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   31.05.2000              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   26.09.2002              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-WT/Seefläche mit Schilfgürtel 276,4 km² (ungar. Gebiet: 52,5 km²)
   01.01.1997              ;OWF-W/Seefläche mit Schilfgürtel 276,4 km² (ungar. Gebiet: 52,5 km²)
   01.01.1998    31.12.1998;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/ab 31. Mai Datensammler
   01.01.2002    31.12.2002;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-W/von 1. bis 26. Sep Datensammlerausfall
   01.01.2005    31.12.2005;OWF-WT/Im Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Mrz,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt

