Messstelle:                ;Kitzbühel (Seepegel)
HZB-Nummer:                ;202556
HD-Nummer:                 ;
DBMS-Nummer:               ;7004041
Gewässer:                  ;Schwarzsee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   20.05.1996              ;778,10

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   20.05.1996              ;377191,00 - 257829,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   20.05.1996              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   20.05.1996    08.09.2005;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   08.09.2005              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   08.09.2005              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   08.09.2005              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1997              ;OWF-W/Seefläche 0,165 km²
   01.01.2009    31.12.2009;OWF-WT/Seefläche 0,165 km²
   01.01.2014    31.12.2014;OWF-WT/Im Apr,Jul nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Apr,Jul nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-WT/Seefläche 0,165 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2020    31.12.2020;OWF-W/vom 12. bis 28. Mai und vom 17. Jun bis 2. Jul Datenausfall

