Messstelle:                ;Unterburg-See
HZB-Nummer:                ;213348
HD-Nummer:                 ;00802
DBMS-Nummer:               ;2001088
Gewässer:                  ;Klopeiner See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;4,1

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1921              ;446,58
   25.09.1925              ;445,58
   01.01.1975              ;445,17
   22.09.2009              ;445,17
   29.11.2019              ;445,14

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1993              ;546756,00 - 163586,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1993              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   22.12.2006              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1994              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   22.12.2006              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1997              ;OWF-W/Seefläche 1,106 km²
   01.01.2006    31.12.2006;OWF-WT/Seefläche 1,106 km²
   01.01.2008    31.12.2008;OWF-WT/Seefläche 1,106 km²
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-WT/Seefläche 1,106 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

