Messstelle:                ;Dietlgut
HZB-Nummer:                ;205765
HD-Nummer:                 ;8210
DBMS-Nummer:               ;4001119
Gewässer:                  ;Steyr
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;25,2

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1952              ;650,00
   01.01.1990              ;642,78

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1953              ;508249,00 - 281377,00
   01.01.2018              ;508246,77 - 281365,30

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1947              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1981    02.02.2022;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   29.05.2001    02.02.0222;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   02.02.2022              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.2011    02.02.2022;2111006440-3/OWF-W/Pneumatic (Winkelcod.)-digitalisiert
   01.01.2011    02.02.2022;2111006440-4/OWF-W/Pneumatic (Winkelcod.)-Datensammler
   02.02.2022              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1983              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1989    01.01.1998;2161003310-2/OWF-WT/Metal-Schreibstreifen manuell
   01.01.1998    02.02.2022;2161003310-3/OWF-WT/Metal-digitalisiert
   29.05.2001    02.02.2022;2161003320-4/OWF-WT/Hleiter-Datensammler
   02.02.2022              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.2016;OWF-WT/ausgewiesene Extremwerte sind zeitweise Tagesmittelwerte
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Mai,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/am 20. Jän Einbau einer Sohlschwelle  | am 3. Mrz Erhöhung der Sohlschwelle
   01.01.1997    31.12.1997;OWF-Q/am 20. Jän Einbau einer Sohlschwelle  | am 3. Mrz Erhöhung der Sohlschwelle
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Apr durch Eis beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/am 20. Jul Minimum durch Schottereintrag oberhalb des Pegels
   01.01.1999    31.12.1999;OWF-Q/am 20. Jul Minimum durch Schottereintrag oberhalb des Pegels
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-W/am 3. und 4. Okt durch Bauarbeiten beeinflusst
   01.01.2008    31.12.2008;OWF-Q/am 3. und 4. Okt durch Bauarbeiten beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Feb,Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb,Mrz,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Apr,Mai,Okt nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Feb,Mrz,Apr,Mai,Jul,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt

