Messstelle:                ;Mondsee (Armaturenwerk)
HZB-Nummer:                ;205278
HD-Nummer:                 ;5010
DBMS-Nummer:               ;4001075
Gewässer:                  ;Zeller Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;37

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;495,38
   10.07.2013              ;495,54

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1901              ;450250,00 - 301795,00
   26.07.2011              ;450217,00 - 301813,00
   01.01.2020              ;450217,00 - 301813,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1901              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1977              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.05.2006    15.06.2013;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   20.07.2013              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   16.06.2013              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.12.2022              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.01.1961              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Mai,Aug nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Mrz,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Apr,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2002    31.12.2002;OWF-Q/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2004    31.12.2004;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Mai nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-W/ab 7. Nov Bauarbeiten 
   01.01.2005    31.12.2005;OWF-Q/ab 7. Nov Bauarbeiten 
   01.01.2006    31.12.2006;OWF-Q/Im Feb,Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/bis 1. Jun Bauarbeiten
   01.01.2006    31.12.2006;OWF-Q/bis 1. Jun Bauarbeiten
   01.01.2008    31.12.2008;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Apr,Mai,Jun,Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jul nach ergänzten Wasserständen ermittelt

