Messstelle:                ;Engelhartszell
HZB-Nummer:                ;207027
HD-Nummer:                 ;
DBMS-Nummer:               ;10001020
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;77089,7

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1893              ;279,52
   01.01.1906              ;278,99
   01.11.1939              ;277,99
   01.01.1958              ;276,99

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1906              ;479760,00 - 374070,00
   05.05.2006              ;479718,53 - 374142,33

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1884              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1904    01.01.1997;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1997              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   08.11.2010              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   08.11.2010              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   31.08.2000              ;2111006420-4/OWF-W/Pneumatic (analog)-Datensammler
   31.08.2000              ;2111006420-6/OWF-W/Pneumatic (analog)-Fernübertragung (DFÜ)
   01.01.1954    31.12.2020;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1948              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   17.10.2001              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   29.10.2019              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   01.01.1968              ;2281002210-1/OWF-FS/SSchwebstoff (M.-Waage)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/seit 1963 im Staubereich des Donau-KW Aschach
   01.01.1996              ;OWF-WT/seit 1963 im Staubereich des Donau-KW Aschach
   01.01.1998    31.12.1998;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
