Messstelle:                ;Polsterlucke
HZB-Nummer:                ;205773
HD-Nummer:                 ;8240
DBMS-Nummer:               ;4001120
Gewässer:                  ;Krumme Steyr
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,6

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;615,00
   01.01.1979              ;614,81
   14.05.1981              ;614,01

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;508608,00 - 284021,00
   01.01.2018              ;508618,17 - 284032,99

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1976              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1976    27.07.2023;2111005310-3/OWF-W/Drucksonde (direkt)-digitalisiert
   01.07.2004    27.07.2023;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   27.07.2023              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.2011    27.07.2023;2111006410-3/OWF-W/Pneumatic (direkt)-digitalisiert
   01.01.2011    27.07.2023;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   27.07.2023              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   27.07.2023              ;2161003320-1/OWF-WT/Hleiter-händische Messung
   27.07.2023              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/überwiegend durch Quellwasser gespeist
   01.01.1996              ;OWF-Q/Abfluss durch Karstgebiet beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Mrz,Apr,Aug,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Apr,Aug nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/am 4. Mrz Einbau einer Sohlschwelle
   01.01.1997    31.12.1997;OWF-Q/am 4. Mrz Einbau einer Sohlschwelle
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mai,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/im Feb zeitweis trocken
   01.01.1999    31.12.1999;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Mai,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/im Feb zeitweise trocken (Karstquelle)
   01.01.1999    31.12.1999;OWF-Q/im Feb zeitweise trocken (Karstquelle)
   01.01.2000    31.12.2000;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/im Jän zeitweise trocken (Karstquelle)
   01.01.2000    31.12.2000;OWF-Q/im Jän zeitweise trocken (Karstquelle)
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
