Messstelle:                ;Oberndorf
HZB-Nummer:                ;203539
HD-Nummer:                 ;
DBMS-Nummer:               ;5001048
Gewässer:                  ;Salzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;6120

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;387,23

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1906              ;419680,00 - 311320,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1906              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   25.05.1960    01.01.1981;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   10.03.2015              ;2111004410-4/OWF-W/Druckdose-Datensammler
   01.01.1999              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.12.2020              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1981              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.04.2004              ;2111006440-4/OWF-W/Pneumatic (Winkelcod.)-Datensammler
   01.01.1961              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.12.1908              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1999              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   01.12.2020              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.2008;OWF-Q/Abflussmessungen vom WWA Traunstein durchgeführt
   01.01.1996    31.12.2015;OWF-WT/Temperatur auch aus Beobachtungszeitraum Feb 1897 bis Dez 1905
   01.01.1996    31.12.2015;OWF-WT/vorhanden (vor Beobachtungsbeginn Wasserstand)
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-WT/Im Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
