Messstelle:                ;In der Au
HZB-Nummer:                ;230706
HD-Nummer:                 ;
DBMS-Nummer:               ;7001163
Gewässer:                  ;Melach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;204,7

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.04.1989              ;813,58

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1991              ;218135,50 - 232215,40

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   26.04.1989              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1991              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1991              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   06.12.2007              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   06.12.2007              ;2121009000-9/OWF-V/unbestimmt-Datensammler -> DFÜ
   01.01.1991              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   07.04.2009              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   07.04.2009              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/Jahresminimum durch Lawinenabgang am 22. Feb erzeugt  | am 24. Nov händische Profilräumung
   01.01.1999    31.12.1999;OWF-Q/Jahresminimum durch Lawinenabgang am 22. Feb erzeugt  | am 24. Nov händische Profilräumung
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Mrz,Apr,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
