Messstelle:                ;Wallersee (Seepegel)
HZB-Nummer:                ;203588
HD-Nummer:                 ;
DBMS-Nummer:               ;5001053
Gewässer:                  ;Wallersee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;109,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;504,00
   01.01.1992              ;504,25

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;436930,00 - 308610,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1981              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   08.05.2002              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   29.11.2017              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1981              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   20.03.2012              ;2111006440-4/OWF-W/Pneumatic (Winkelcod.)-Datensammler
   08.05.2002              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   08.05.2002              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   09.05.2002              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   29.11.2017              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Seefläche 6,4 km²
   01.01.2003    31.12.2003;OWF-WT/Seefläche 6,4 km²
   01.01.2004    31.12.2004;OWF-WT/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/Seefläche 6,4 km²

