Messstelle:                ;Marienthal (Bahnbrücke)
HZB-Nummer:                ;208413
HD-Nummer:                 ;
DBMS-Nummer:               ;11002097
Gewässer:                  ;Fischa
Sachgebiet:                ;OWF
Dienststelle:              ;Magistratsabteilung 31
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
orogr.Einzugsgebiet [km²]: ;417,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;176,46
   01.01.1982              ;174,61

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1954              ;762861,00 - 320812,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.12.1954              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.12.1954    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.2005              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   02.01.2005              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.1977              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1976    31.12.2013;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1976    01.01.1998;2161002210-2/OWF-WT/Bimetal-Schreibstreifen manuell
   01.01.1998    31.12.2013;2161002210-3/OWF-WT/Bimetal-digitalisiert

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Wehrbetrieb beeinflusst
   01.01.1996              ;OWF-Q/durch Wehrbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Mai,Jun,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998              ;OWF-W/von Apr bis Okt Ausleitung in Tiroler Bach (Versickerung)
   01.01.1998              ;OWF-Q/von Apr bis Okt Ausleitung in Tiroler Bach (Versickerung)
   01.01.1998    31.12.1998;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/vom 18. Mrz - 26. Mai Temperaturfühler 50 cm eingeschottert
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Aug,Sep trocken
   01.01.2011    31.12.2011;OWF-WT/Im Aug,Sep trocken
   01.01.2012    31.12.2012;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Beobachtungsende am 31. Dez
   01.01.2014    31.12.2014;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Feb,Mai,Sep nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Jun,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt

