Messstelle:                ;Seespitze (Seepegel)
HZB-Nummer:                ;202184
HD-Nummer:                 ;
DBMS-Nummer:               ;7001109
Gewässer:                  ;Plansee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Elektrizitätswerk der Marktgemeinde Reutte
orogr.Einzugsgebiet [km²]: ;115,5

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1926              ;969,00
   01.01.1986              ;969,95

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1902              ;184230,00 - 259360,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1976              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.2008              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   20.02.2014              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   11.03.2014              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen des E-Werkes Reutte
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.2017              ;OWF-W/Seefläche 2,87 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers

