Messstelle:                ;Niederspaching
HZB-Nummer:                ;206169
HD-Nummer:                 ;3750
DBMS-Nummer:               ;4001158
Gewässer:                  ;Aschach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;101,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;359,00
   01.01.1989              ;359,69
   01.01.1990              ;358,69
   25.10.2018              ;358,71

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;485430,00 - 353695,00
   31.03.2020              ;485403,47 - 353701,97
   01.04.2020              ;485403,47 - 353701,97

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   29.06.1976              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   29.06.1976    01.09.1998;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.09.1998    17.07.2017;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   02.09.1998    17.07.2017;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   14.11.2016              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.09.1998    25.05.2016;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   14.11.2016              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   14.11.2016              ;2161003320-1/OWF-WT/Hleiter-händische Messung
   14.11.2016              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler
   14.11.2016              ;2161003323-1/OWF-WT/Hleiter (mobil)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2002    31.12.2002;OWF-Q/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
