Messstelle:                ;Tristach (Seepegel)
HZB-Nummer:                ;202671
HD-Nummer:                 ;
DBMS-Nummer:               ;7004341
Gewässer:                  ;Tristacher See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1,73

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   22.07.2004              ;819,62

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   22.07.2004              ;409179,46 - 185534,07

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   22.07.2004              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   22.07.2004              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   22.07.2004              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   22.07.2004              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2012    31.12.2012;OWF-WT/Im Apr,Jun nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2016              ;OWF-W/Seefläche 0,06 km²
   01.01.2017              ;OWF-WT/Seefläche 0,06 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

