Messstelle:                ;Landeck-Bruggen
HZB-Nummer:                ;202036
HD-Nummer:                 ;
DBMS-Nummer:               ;7001095
Gewässer:                  ;Sanna
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;727

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1971              ;780,83
   05.05.1981              ;776,78
   01.01.1983              ;776,67
   20.06.2012              ;775,30

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   05.05.1981              ;167468,00 - 222753,00
   01.01.1983              ;167423,68 - 222749,69

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1971              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1971    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    05.05.1981;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   19.04.2001              ;2111004410-9/OWF-W/Druckdose-Datensammler -> DFÜ
   01.01.2016              ;2111004410-9/OWF-W/Druckdose-Datensammler -> DFÜ
   25.08.1984    20.02.2012;2111006440-3/OWF-W/Pneumatic (Winkelcod.)-digitalisiert
   01.01.1971              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   10.10.2011              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1971              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   14.03.2011              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   14.03.2011              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ
   08.05.2012              ;2191001310-1/OWF-FS/gel.Inh.St. (LF)-händische Messung
   08.05.2012              ;2191001310-9/OWF-FS/gel.Inh.St. (LF)-Datensammler -> DFÜ
   01.03.2007              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   01.02.2016              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   01.03.2007              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DFÜ
   30.04.2020              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen d. Vbg. Illwerke-AG u. d. HD Tirol
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen d. Vbg. Illwerke-AG u. d. HD Tirol
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2002    31.12.2002;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/am 1. Mrz Profilräumung
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-W/am 7. Aug Profilarbeiten
   01.01.2008              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2008              ;OWF-Q/Q nach Erhebungen der VIW und des HD Tirol
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/am 1. und 11. Sep Murenabgänge am Lattenbach | im Jän, Feb, Mrz nach ergänzten Daten ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/im Okt und Nov nach ergänzten Daten ermittelt | ab 1. Dez Pegel durch Bauarbeiten eingestaut
   01.01.2010    31.12.2010;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/am 4. Mrz Rampenerhöhung
   01.01.2010    31.12.2010;OWF-Q/bis 4. Mrz und vom 20. bis 30. Sep durch Bauarbeiten beeinflusst | im Jul nach ergänzten Daten ermittelt | am 12. Jul Spitze durch Unwetter im EG von Rosanna und Trisanna | am 10. und 11. Jul Spitze durch Unwetter am Lattenbach
   01.01.2011    31.12.2011;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/im Jän, Nov und Dez nach ergänzten Daten ermittelt | vom 28. bis 31. Mrz durch Bauarbeiten beeinflusst
   01.01.2012    31.12.2012;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
