Messstelle:                ;Vorderberg-Grabenausgang
HZB-Nummer:                ;217232
HD-Nummer:                 ;01892
DBMS-Nummer:               ;2002618
Gewässer:                  ;Vorderberger Wildbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;25,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2012              ;591,10
   01.08.2012              ;591,20

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.12.2012              ;464274,00 - 160929,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   30.08.2012              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   30.08.2012              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   30.08.2012              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   30.08.2012              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2015    31.12.2015;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2015    31.12.2015;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

