Messstelle:                ;Grießau
HZB-Nummer:                ;201038
HD-Nummer:                 ;
DBMS-Nummer:               ;7001002
Gewässer:                  ;Lech
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;459,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1972              ;1022,00
   01.01.1976              ;1013,67
   01.01.1988              ;1013,66
   23.09.2008              ;1013,68
   02.12.2009              ;1013,48

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;159844,00 - 239905,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1972              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1972    10.10.2005;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1972              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   23.03.2004              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   02.12.2009              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   02.12.2009              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997    31.12.1997;OWF-W/Profilanhebung durch Uferverbauung am 24. Feb
   01.01.2009    31.12.2009;OWF-W/am 2. Dez PNP um 20 cm gesenkt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/im Jän NW durch Lawine beeinflusst
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Jul nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/ab 11. Jän Sohleintiefung durch Profilräumung
   01.01.2012    31.12.2012;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/im Apr NW durch Lawine beeinflusst
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Aug nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/im Feb NW durch Lawine beeinflusst
   01.01.2020    31.12.2020;OWF-Q/Im Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

