Messstelle:                ;Altheim
HZB-Nummer:                ;206748
HD-Nummer:                 ;2510
DBMS-Nummer:               ;4001215
Gewässer:                  ;Mühlheimer Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;193

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1987              ;352,88
   17.09.2020              ;348,27
   01.01.2022              ;348,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1987              ;442160,00 - 345910,00
   01.01.2018              ;442147,92 - 345938,67
   17.09.2020              ;441634,41 - 346205,91
   31.08.2021              ;441636,08 - 346151,63

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1987              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1987    31.12.2020;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   20.11.2003    14.04.2021;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.09.2020              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   16.08.2021              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   16.08.2021              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.01.1987              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.09.2020              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler
   16.08.2021              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler
   01.09.2020              ;2161003323-1/OWF-WT/Hleiter (mobil)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jun,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
