Messstelle:                ;Nenzing
HZB-Nummer:                ;231670
HD-Nummer:                 ;
DBMS-Nummer:               ;8001055
Gewässer:                  ;Ill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
orogr.Einzugsgebiet [km²]: ;846,07

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1985              ;510,32

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1985              ;104822,00 - 226674,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1985              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   07.04.1994              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   02.01.2014              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1985    07.04.1994;2111006410-3/OWF-W/Pneumatic (direkt)-digitalisiert
   01.01.1985              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-W/seit Ende 1984 in der Entnahmestrecke des Walgauwerkes
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Vorarlberger Illwerke-AG
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksrückgabe beeinflusst
   01.01.1996    31.12.1999;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000              ;OWF-W/durch Kraftwerksrückgabe beeinflusst
   01.01.2000    31.12.2000;OWF-W/am 18. Dez Extremwerte durch Spülspitzen beeinflusst  | 
   01.01.2000    31.12.2000;OWF-Q/am 18. Dez Extremwerte durch Spülspitzen beeinflusst  | 
   01.01.2004    31.12.2004;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Mrz,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Mrz,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

