Messstelle:                ;Steeg (Bootshütte)
HZB-Nummer:                ;205138
HD-Nummer:                 ;4190
DBMS-Nummer:               ;4001061
Gewässer:                  ;Hallstätter See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;614,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;507,41
   28.01.1999              ;507,35

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1883              ;472700,00 - 274480,00
   01.01.2020              ;472669,00 - 274503,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1883              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1912    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    31.12.2014;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.1997              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.05.2017              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.05.2017              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.05.2017              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.05.2017              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Seefläche 8,4 km²
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers

