Messstelle:                ;Wien (Nußdorf)
HZB-Nummer:                ;207183
HD-Nummer:                 ;
DBMS-Nummer:               ;10001028
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;101700

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1828              ;159,48
   01.11.1939              ;156,48

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1828              ;752683,30 - 347482,10
   12.08.2008              ;752588,00 - 347318,00
   01.01.2010              ;752588,00 - 347318,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1828              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1956    01.01.1997;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   15.02.2011              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   15.02.2011              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   01.01.1828              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   01.01.1800              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1800              ;2141009000-1/OWF-Q/unbestimmt-händische Messung
   01.07.1998              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   15.02.2011              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   01.01.1977              ;2281002210-1/OWF-FS/SSchwebstoff (M.-Waage)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1997              ;OWF-W/seit 1997 im Staubereich des Donau-KW Freudenau
   01.01.1997              ;OWF-WT/seit 1997 im Staubereich des Donau-KW Freudenau
   01.01.1997    31.12.2011;OWF-W/Messungen um 7 Uhr
   01.01.1997    31.12.1997;OWF-W/am 28. Nov Vollstau des KW Freudenau
   01.01.1997    31.12.1997;OWF-WT/am 28. Nov Vollstau des KW Freudenau
   01.01.1999    31.12.1999;OWF-WT/Messungen um 7 Uhr
   01.01.2000    31.12.2000;OWF-WT/Messungen um 7 Uhr
   01.01.2001    31.12.2001;OWF-WT/Messungen um 7 Uhr
   01.01.2002    31.12.2002;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/Wasserstände vom 15. Dez 2002 bis 1. Jän 2003 unter Zuhilfenahme von VHP-Daten korrigiert

