Messstelle:                ;Orth an der Donau
HZB-Nummer:                ;207423
HD-Nummer:                 ;2HD10881
DBMS-Nummer:               ;10001043
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;103934

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1908              ;145,37
   01.11.1939              ;143,37
   01.01.1952              ;143,30
   24.10.2019              ;142,30

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2007              ;778383,50 - 331816,66
   01.01.2010              ;778383,25 - 331816,57

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1951              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   24.03.2003    05.09.2015;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   28.02.2013              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   28.02.2013              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   24.03.2003              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   24.03.2003    10.10.2015;2161004310-4/OWF-WT/Thermoelement-Datensammler
   28.02.2013              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   28.02.2013              ;2161004310-6/OWF-WT/Thermoelement-Fernübertragung (DFÜ)

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2006    31.12.2006;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/am 13. Jän durch Eisabgang beeinflusst
   01.01.2010    31.12.2010;OWF-WT/Im Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-W/am 24. Okt PNP um 100 cm gesenkt

