Messstelle:                ;Peisching
HZB-Nummer:                ;208942
HD-Nummer:                 ;no810
DBMS-Nummer:               ;3001116
Gewässer:                  ;Mühlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;0

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   21.04.1953              ;355,83

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   21.04.1953              ;733129,00 - 287087,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   21.04.1953              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   14.01.2004    23.02.2015;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   23.02.2015              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   24.06.2020              ;2111005320-9/OWF-W/Drucksonde (analog)-Datensammler -> DFÜ
   01.01.1980              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   14.01.2004              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.2013              ;2161003310-3/OWF-WT/Metal-digitalisiert
   14.01.2004              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   24.06.2020              ;2161009000-9/OWF-WT/ unbestimmt-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.1998              ;OWF-Q/Ausleitung aus der Schwarza
   01.01.1998    31.12.2008;OWF-W/Ausleitung aus der Schwarza
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Jul,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/vom 18. - 31. Mrz, 12. - 17. Sep, 28.  - 30. Nov Bachabkehr
   01.01.1998    31.12.1998;OWF-Q/vom 18. - 31. Mrz, 12. - 17. Sep, 28.  - 30. Nov Bachabkehr
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Okt nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/vom 23. Mrz bis 6. Apr und vom 14. bis 20. Sep Bachabkehr
   01.01.2002    31.12.2002;OWF-Q/vom 23. Mrz bis 6. Apr und vom 14. bis 20. Sep Bachabkehr
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-W/vom 5. bis 14. Mrz Bachabkehr
   01.01.2003    31.12.2003;OWF-Q/vom 5. bis 14. Mrz Bachabkehr
   01.01.2004    31.12.2004;OWF-Q/Im Jun nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-W/ab 14. Jän Datensammler  | vom 18. bis 26. Sep Bachabkehr
   01.01.2004    31.12.2004;OWF-Q/ab 14. Jän Datensammler  | vom 18. bis 26. Sep Bachabkehr
   01.01.2004    31.12.2004;OWF-WT/Beobachtungsbeginn 14. Jän  | ab 14. Jän Datensammler
   01.01.2005    31.12.2005;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
