Messstelle:                ;Pertisau (Seepegel)
HZB-Nummer:                ;201145
HD-Nummer:                 ;
DBMS-Nummer:               ;7001012
Gewässer:                  ;Achensee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;105,5

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1903              ;928,85
   01.01.1945              ;928,78
   01.01.1976              ;919,78
   01.01.1979              ;918,78
   08.08.2018              ;918,78

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1902              ;253383,00 - 256983,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1902              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   14.04.1989              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.09.1910              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-WT/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996    31.12.2011;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.2016;OWF-WT/von Jän bis Dez zeitweise Messungen auch um 14 Uhr
   01.01.2008    31.12.2008;OWF-WT/von Jän bis Dez zeitweise Messungen auch um 14 Uhr
   01.01.2012              ;OWF-W/tatsächlicher Pegelnullpunkt ist 928,78 m.ü.A.
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Mrz,Apr,Mai,Jun,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Mrz,Apr,Mai,Jun,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-W/Seefläche 6,80 km²
   01.01.2017              ;OWF-WT/Seefläche 6,80 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

