Messstelle:                ;Zell
HZB-Nummer:                ;213033
HD-Nummer:                 ;00668
DBMS-Nummer:               ;2001061
Gewässer:                  ;Glan
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;817,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1967              ;410,44

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1967              ;531853,20 - 163526,40

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1967              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1967              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.2007              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.2007              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1967              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.2009              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.2007              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Seeschleuse beeinflusst
   01.01.1996              ;OWF-Q/durch Seeschleuse beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Feb,Aug nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun nach ergänzten Wasserständen ermittelt

