Messstelle:                ;Mattsee (Seepegel)
HZB-Nummer:                ;203604
HD-Nummer:                 ;
DBMS-Nummer:               ;5001055
Gewässer:                  ;Mattsee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;10,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;501,57
   01.01.2005              ;501,40

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1903              ;433140,00 - 314790,00
   18.04.2001              ;433185,00 - 314800,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1903              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   18.04.2001              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   22.11.2017              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1915              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   18.04.2001              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   19.04.2001              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   22.11.2017              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Seefläche 3,6 km²
   01.01.1996              ;OWF-WT/Seefläche 3,6 km²
   01.01.2000    31.12.2000;OWF-WT/Seefläche 3,6 km²
   01.01.2001    31.12.2001;OWF-WT/Seefläche 3,6 km²
   01.01.2002    31.12.2002;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

