Messstelle:                ;Lavamünd Ort
HZB-Nummer:                ;213173
HD-Nummer:                 ;00688
DBMS-Nummer:               ;2001073
Gewässer:                  ;Drau
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;11043

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1942              ;340,00
   01.01.1976              ;340,00
   01.11.2004              ;338,00
   31.03.2015              ;338,02

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;643568,67 - 167763,40
   01.01.2005              ;573248,63 - 168070,50
   28.04.2015              ;573066,20 - 168065,10
   04.08.2015              ;573046,62 - 168078,42

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1895    31.12.1942;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.11.2004              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.11.2004              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.2000              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.02.1942              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.11.2004              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ
   01.10.2007              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   01.10.2007              ;2281004610-4/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.2014;OWF-WT/nur WT Auswertungen
   01.01.2001    31.12.2001;OWF-WT/nur WT Auswertungen
   01.01.2002    31.12.2002;OWF-WT/nur WT Auswertungen
   01.01.2003    31.12.2003;OWF-WT/nur WT Auswertungen
   01.01.2004    31.12.2004;OWF-WT/nur WT Auswertungen
   01.01.2005    31.12.2005;OWF-WT/nur WT Auswertungen
   01.01.2006    31.12.2006;OWF-WT/nur WT Auswertungen
   01.01.2007    31.12.2007;OWF-WT/nur WT Auswertungen
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Mai,Jun,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Mai,Jun,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/im Jän, Jun, Jul und Aug nach ergänzten Daten ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Mai,Jun,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2011    31.12.2011;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2011    31.12.2011;OWF-WT/durch Kraftwerksbetrieb beeinflusst
   01.01.2011    31.12.2011;OWF-Q/im Aug und Sep nach ergänzten Daten ermittelt | am 19. Jun Spitze durch Kaltfront mit Gewittern
   01.01.2012    31.12.2012;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2012    31.12.2012;OWF-WT/durch Kraftwerksbetrieb beeinflusst
   01.01.2012    31.12.2012;OWF-Q/im Mrz, Apr, Aug, Sep, Nov und Dez nach ergänzten Daten erm. | am 5. bis 6., 11. bis 12. Nov Spitzen durch starke Niederschläge
   01.01.2013    31.12.2013;OWF-WT/durch Kraftwerksbetrieb beeinflusst
   01.01.2013    31.12.2013;OWF-Q/von Jän bis Mrz nach ergänzten Daten ermittelt | im Apr, Jul zeitweise nach ergänzten Daten ermittelt
   01.01.2014    31.12.2014;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2014    31.12.2014;OWF-WT/durch Kraftwerksbetrieb beeinflusst
   01.01.2014    31.12.2014;OWF-Q/von Feb bis Jun zeitweise nach ergänzten Daten ermittelt
   01.01.2015              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.2015              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2015              ;OWF-WT/durch Kraftwerksbetrieb beeinflusst
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/im Jul, Sep und Okt nach ergänzten Daten ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
