Messstelle:                ;Hollenstein
HZB-Nummer:                ;208041
HD-Nummer:                 ;no340
DBMS-Nummer:               ;3001044
Gewässer:                  ;Schmida
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;212

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;228,00
   01.01.1977              ;225,54

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   09.10.1935              ;720185,00 - 379724,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   09.10.1935    27.10.1940;2111001110-1/OWF-W/Pegellatte-händische Messung
   12.12.1949              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   11.11.1968    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   12.10.2006              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   30.11.2011              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1967              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   12.10.2006    04.04.2014;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   12.10.2006              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ
   04.04.2014              ;2161003323-1/OWF-WT/Hleiter (mobil)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Nov,Dez durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-W/vom 28. Jun bis zum 2. Jul Pegelumbau
   01.01.1998    31.12.1998;OWF-Q/vom 28. Jun bis zum 2. Jul Pegelumbau
   01.01.1999    31.12.1999;OWF-Q/Im Dez durch Eis beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2000    31.12.2000;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/am 12. Okt Beobachtungsbeginn  | ab 12. Okt Datensammler
   01.01.2007    31.12.2007;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008              ;OWF-W/Hochwasserführung durch Rückhaltebecken beeinflusst
   01.01.2008              ;OWF-Q/Hochwasserführung durch Rückhaltebecken beeinflusst
   01.01.2008    31.12.2008;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/vom 10. bis 14. Sep Gerinneräumung
   01.01.2010    31.12.2010;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2010    31.12.2010;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/im Aug. zeitweise Datenausfall
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Jun,Jul,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2014    31.12.2014;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2015    31.12.2015;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/vom 14. bis 18. Dez Datenausfall
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän durch Eis beeinflusst
