Messstelle:                ;Kammer
HZB-Nummer:                ;205351
HD-Nummer:                 ;5290
DBMS-Nummer:               ;4001082
Gewässer:                  ;Attersee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;459,7

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1896              ;468,80
   01.01.1912              ;468,60
   01.01.1962              ;468,75
   01.01.1971              ;467,75

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1900              ;469540,00 - 311510,00
   01.01.2020              ;469501,00 - 311642,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1895              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1912    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.09.2009              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   10.03.2014              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   10.03.2014              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1989              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.2014              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Seefläche 45,9 km²
   01.01.1997    31.12.1997;OWF-WT/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-WT/Im Mai,Jul nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2013    31.12.2013;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-WT/Seefläche 45,9 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

