Messstelle:                ;Imst (Bahnhof)
HZB-Nummer:                ;201319
HD-Nummer:                 ;
DBMS-Nummer:               ;7001029
Gewässer:                  ;Inn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;3842

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1886              ;709,04
   01.01.1953              ;708,87
   01.01.1956              ;707,87
   14.12.1972              ;706,87
   01.01.1983              ;706,89

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1886              ;182182,00 - 231241,00
   01.01.1983              ;182120,72 - 231225,16

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1886              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1986              ;2111006410-3/OWF-W/Pneumatic (direkt)-digitalisiert
   01.01.1986              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Kraftwerksrückgabe beeinflusst
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/durch Kraftwerksrückgabe beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-W/am 22. Mrz durch Baggerarbeiten beeinflußt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers

