Messstelle:                ;Kaprun
HZB-Nummer:                ;203109
HD-Nummer:                 ;
DBMS-Nummer:               ;5001010
Gewässer:                  ;Kapruner Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;88,6

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;763,83

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;406580,00 - 237230,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1920              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1950    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    31.12.1980;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.1997              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   31.12.1980    01.01.1997;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1961              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.03.1975    31.12.1992;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1977    31.12.1992;2161002210-2/OWF-WT/Bimetal-Schreibstreifen manuell

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-W/durch Kraftwerksrückgabe beeinflusst
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksrückgabe beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2012;OWF-W/ausgewertet nach Erhebung der Verbund Austrian Hydro Power AG
   01.01.2001    31.12.2012;OWF-Q/ausgewertet nach Erhebung der Verbund Austrian Hydro Power AG
   01.01.2008    31.12.2008;OWF-Q/vom Okt 2004 bis Dez 2007 Abflusswerte geändert
   01.01.2013              ;OWF-W/ausgewertet nach Erhebung der VERBUND Hydro Power GmbH
   01.01.2013              ;OWF-Q/ausgewertet nach Erhebung der VERBUND Hydro Power GmbH
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers

