Messstelle:                ;Kienberg (Neuhaus)
HZB-Nummer:                ;207738
HD-Nummer:                 ;no085
DBMS-Nummer:               ;3001013
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;203,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1936              ;382,74
   01.01.1976              ;382,73
   14.08.1997              ;382,73
   01.01.2017              ;382,82

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1936              ;659800,00 - 311224,80

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1936              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   30.10.1939    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1950              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.04.2010    13.01.2016;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   25.10.2018              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   25.11.2015              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1965              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1997              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Apr,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/am 8. Jul Sohlgurt und Wehranlage durch Hochwasser weggerissen  | vom 14. Aug bis 31. Dez Ersatzstation  | am 19. und 20. Nov Aufstau durch wiedererrichtete Wehranlage
   01.01.1997    31.12.1997;OWF-Q/am 8. Jul Sohlgurt und Wehranlage durch Hochwasser weggerissen  | vom 14. Aug bis 31. Dez Ersatzstation  | am 19. und 20. Nov Aufstau durch wiedererrichtete Wehranlage
   01.01.1998    31.12.1998;OWF-Q/Im Mai nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/vom 1. Jan bis zum 17. Feb Ersatzstation  | vom 18. Nov bis zum 9. Dez Bauarbeiten  | am 2. Dez Profileintiefung
   01.01.1998    31.12.1998;OWF-Q/vom 1. Jan bis zum 17. Feb Ersatzstation  | vom 18. Nov bis zum 9. Dez Bauarbeiten  | am 2. Dez Profileintiefung
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Jun,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/vom 16. bis 27. Mrz Profilräumung
   01.01.2000    31.12.2000;OWF-Q/vom 16. bis 27. Mrz Profilräumung
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-W/im Mrz Profilräumung unterhalb des Pegels  | vom 12. bis 27. Aug Profilräumung
   01.01.2003    31.12.2003;OWF-Q/im Mrz Profilräumung unterhalb des Pegels  | vom 12. bis 27. Aug Profilräumung
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/vom 11. bis 20. Sep Profilräumung unterhalb
   01.01.2006    31.12.2006;OWF-Q/vom 11. bis 20. Sep Profilräumung unterhalb
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-W/vom 31. Okt bis 12. Nov Datenausfall
   01.01.2009    31.12.2009;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/vom 2. bis 10. Jul Datenausfall
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/vom 31. Jän bis 1. Feb Profilräumung unterhalb
   01.01.2011    31.12.2011;OWF-Q/vom 31. Jän bis 1. Feb Profilräumung unterhalb
   01.01.2012    31.12.2012;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/vom 3. bis 19. Sep Bauarbeiten zu Errichtung der Sohlgrundelemente
   01.01.2013    31.12.2013;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

