Messstelle:                ;Werfen
HZB-Nummer:                ;204032
HD-Nummer:                 ;
DBMS-Nummer:               ;5001098
Gewässer:                  ;Salzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;2953,2

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1995              ;516,00
   05.05.2008              ;513,13
   02.12.2009              ;512,13

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1995              ;439335,00 - 260130,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1995              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1997              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1995              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1995              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.2012              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   01.01.2012              ;2281004610-4/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2012;OWF-W/ausgewertet nach Erhebung der Verbund Austrian Hydro Power AG
   01.01.2001    31.12.2012;OWF-Q/ausgewertet nach Erhebung der Verbund Austrian Hydro Power AG
   01.01.2002    31.12.2002;OWF-Q/ausgewertet nach Erhebung der Verbund Austrian Hydro Power AG
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/ab Nov durch Kraftwerksbau beeinflusst
   01.01.2006    31.12.2006;OWF-Q/ab Nov durch Kraftwerksbau beeinflusst
   01.01.2007    31.12.2007;OWF-Q/Im Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-W/ganzjährig durch Kraftwerksbetrieb beeinflusst
   01.01.2007    31.12.2007;OWF-Q/ganzjährig durch Kraftwerksbetrieb beeinflusst
   01.01.2008    31.12.2008;OWF-Q/Im Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/am 7. Nov PNP um 1m gesenkt
   01.01.2013              ;OWF-W/ausgewertet nach Erhebung der VERBUND Hydro Power GmbH
   01.01.2013              ;OWF-Q/ausgewertet nach Erhebung der VERBUND Hydro Power GmbH
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers

