Messstelle:                ;Gols
HZB-Nummer:                ;210369
HD-Nummer:                 ;
DBMS-Nummer:               ;1001033
Gewässer:                  ;Golser Kanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;34,1

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1976              ;115,66
   01.01.1987              ;117,03
   01.11.1988              ;117,39

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;789550,00 - 303700,00
   05.10.2018              ;789558,41 - 303703,33

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.06.1976              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.06.1976    22.05.2012;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   22.05.2012              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1977              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Mrz,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/am 28. Aug Venturiadapter geschlossen  | am 24. Sep Venturiadapter geöffnet  | vom 2. bis 10. Okt Venturigerinne durch Schwemmgut eingestaut
   01.01.1997    31.12.1997;OWF-Q/am 28. Aug Venturiadapter geschlossen  | am 24. Sep Venturiadapter geöffnet  | vom 2. bis 10. Okt Venturigerinne durch Schwemmgut eingestaut
   01.01.1998    31.12.1998;OWF-Q/Im Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Mrz,Jul,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/vom 16. Jul bis 13. Sep Wasserstand durch Aufstau beeinflusst
   01.01.1998    31.12.1998;OWF-Q/vom 16. Jul bis 13. Sep Wasserstand durch Aufstau beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/vom 10. Jun bis 27. Okt Wasserstand durch Aufstau beeinflusst
   01.01.1999    31.12.1999;OWF-Q/vom 10. Jun bis 27. Okt Wasserstand durch Aufstau beeinflusst
   01.01.2000    31.12.2000;OWF-W/vom 31. Mai bis 10. Okt Wasserstand durch Aufstau beeinflusst
   01.01.2000    31.12.2000;OWF-Q/vom 31. Mai bis 10. Okt Wasserstand durch Aufstau beeinflusst
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-W/vom 22. Mai bis 20. Jul Schleuse geschlossen  | vom 28. bis 29. Jul Schreibgerätausfall
   01.01.2001    31.12.2001;OWF-Q/vom 22. Mai bis 20. Jul Schleuse geschlossen  | vom 28. bis 29. Jul Schreibgerätausfall
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2002    31.12.2002;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-W/vom 12. Mai bis 10. Okt. Wasserstand durch Aufstau beeinflusst
   01.01.2004    31.12.2004;OWF-Q/vom 12. Mai bis 10. Okt. Wasserstand durch Aufstau beeinflusst
