Messstelle:                ;Bad Eisenkappel-Forsthaus
HZB-Nummer:                ;213611
HD-Nummer:                 ;01783
DBMS-Nummer:               ;2002265
Gewässer:                  ;Ebriachbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;69,5

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2001              ;542,77
   28.07.2009              ;542,75
   01.01.2013              ;539,22
   26.06.2014              ;539,22

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2001              ;546058,00 - 150586,00
   01.01.2013              ;546254,00 - 150757,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.07.2001              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.07.2001              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   23.12.2006              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.07.2001              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   23.12.2006              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   23.12.2006              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2005    31.12.2005;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Apr,Jul nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Dez durch Eis beeinflusst
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Dez durch Eis beeinflusst
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Mrz nach ergänzten Wasserständen ermittelt

