Messstelle:                ;Ochsenhütte-Hochalm
HZB-Nummer:                ;212456
HD-Nummer:                 ;00188
DBMS-Nummer:               ;2001013
Gewässer:                  ;Hochalmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;9,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;1980,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1954              ;00000,00 - 00000,00
   01.10.2004              ;453733,00 - 208470,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.10.1954    01.01.1977;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1986              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1961              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   29.06.2000              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.2007              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1961              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.2007              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.2007              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Mai,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mai,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Mai,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/am 28. Nov Schwimmer eingefroren
   01.01.2000    31.12.2000;OWF-Q/am 28. Nov Schwimmer eingefroren
   01.01.2001    31.12.2001;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-W/ab 28. Okt Pegel eingewintert
