Messstelle:                ;Moosbrunn (Feuchtland)
HZB-Nummer:                ;208397
HD-Nummer:                 ;
DBMS-Nummer:               ;11002100
Gewässer:                  ;Schlauchgraben
Sachgebiet:                ;OWF
Dienststelle:              ;Magistratsabteilung 31
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
orogr.Einzugsgebiet [km²]: ;0

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;181,92

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;758911,00 - 319626,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.03.1973              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.03.1973    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.2013              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.1977              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1976              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1976    01.01.1998;2161002210-2/OWF-WT/Bimetal-Schreibstreifen manuell
   01.01.1998              ;2161002210-3/OWF-WT/Bimetal-digitalisiert

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Pumpbetrieb (Grundwasserentnahme) beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-WT/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Okt nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2011              ;OWF-W/durch Biberdamm beeinflusst
   01.01.2014    31.12.2014;OWF-Q/durch Biberdamm beeinflusst
   01.01.2017    31.12.2017;OWF-Q/durch Biberdamm beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/durch Biberdamm beeinflusst
   01.01.2018              ;OWF-Q/durch Pumpbetrieb (Grundwasserentnahme) beeinflusst
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2019    31.12.2019;OWF-Q/Im Okt nach ergänzten Wasserständen ermittelt
   01.01.2021              ;OWF-W/durch Teichanlagen beeinflusst
   01.01.2021              ;OWF-Q/durch Teichanlagen beeinflusst
   01.01.2021    31.12.2021;OWF-Q/Im Jul,Nov nach ergänzten Wasserständen ermittelt

