Messstelle:                ;Grünau
HZB-Nummer:                ;206508
HD-Nummer:                 ;6150
DBMS-Nummer:               ;4001191
Gewässer:                  ;Alm
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;181,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1980              ;517,86
   01.01.2006              ;518,86
   26.03.2009              ;518,87

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1980              ;496255,00 - 301399,00
   01.12.2005              ;496234,00 - 301453,00
   01.01.2006              ;496151,00 - 301229,00
   01.01.2020              ;496154,97 - 301230,35

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.05.1980              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.05.1980    01.12.2019;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   15.09.2002    01.12.2019;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.12.2019              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   25.06.2007    01.12.2019;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.12.2019              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.05.1980              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.12.1989              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.06.2007    01.12.2019;2161003320-4/OWF-WT/Hleiter-Datensammler
   01.12.2019              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug trocken
   01.01.1997    31.12.1997;OWF-WT/Im Jän,Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Mrz,Apr,Jul,Aug,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/Im Mrz,Apr,Jul,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-WT/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
