Messstelle:                ;Schärding (Schreibpegel)
HZB-Nummer:                ;206201
HD-Nummer:                 ;2790
DBMS-Nummer:               ;4001162
Gewässer:                  ;Inn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;25520

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;299,80

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1851              ;457050,00 - 368700,00
   23.04.2009              ;457070,00 - 368658,00
   25.03.2020              ;457080,56 - 368681,01

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   Invalid              ;          -/()-()
   01.01.1851              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1904    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    10.09.2007;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.1995    31.12.2007;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.2011              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   01.01.2008              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   15.11.2020              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.02.2008              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.01.2020              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   02.01.2020              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.2014              ;2141006810-4/OWF-Q/Summe-Datensammler
   01.01.1899              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1987    01.01.1998;2161003310-2/OWF-WT/Metal-Schreibstreifen manuell
   01.01.1998    01.01.2003;2161003320-3/OWF-WT/Hleiter-digitalisiert
   01.01.2003    31.12.2007;2161003320-4/OWF-WT/Hleiter-Datensammler
   01.01.2008              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler
   02.01.2008              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler
   01.12.2008              ;2181004610-4/OWF-FS/ Trübung [FNU)-Datensammler
   01.01.2008              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   01.01.2008              ;2281004610-4/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler
   01.01.2013              ;2281004610-8/OWF-FS/Schwebstoff (Opti.-Mess)-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/seit 1965 im Staubereich des Inn-KW Passau-Ingling
   01.01.1996              ;OWF-WT/seit 1965 im Staubereich des Inn-KW Passau-Ingling
   01.01.2003    31.12.2003;OWF-WT/Im Jän,Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-W/vom 20. bis 30. Nov wegen Umbauarbeiten ,keine Lattenpegelablesungen
   01.01.2008              ;OWF-Q/Q aus Inn-KW Schärding und Pegel Ruhstorf/Rott
   01.01.2008    31.12.2008;OWF-Q/Q aus Inn-KW Schärding und Pegel Ruhstorf/Rott
   01.01.2009    31.12.2009;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/im Jän, Feb, Mai, Jun, Jul, Aug, Sep und Dez n. erg. Daten erm.
   01.01.2011    31.12.2011;OWF-Q/im Jän, Jul, Aug und Okt  nach ergänzten Daten ermittelt | am 11. Okt Spitze durch Niederschläge entlang Alpennordseite | am 14. Jän Spitze durch Tauwetter und starke Niederschläge
   01.01.2012              ;OWF-Q/Q aus Inn-KW Schärding und Pegel Ruhstorf/Rott
