Messstelle:                ;Sausteinaste
HZB-Nummer:                ;201715
HD-Nummer:                 ;
DBMS-Nummer:               ;7001064
Gewässer:                  ;Zemmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;225

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.11.1952              ;910,60
   01.01.1954              ;909,60
   01.01.1971              ;909,00
   01.01.1984              ;909,54

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1952              ;262081,00 - 221529,00
   01.01.1971              ;262035,09 - 221465,24

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.11.1952              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   06.03.1955    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.05.1993              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.1956              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.2010;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.2012;OWF-W/ausgewertet nach Erhebung der Verbund Austrian Hydro Power AG
   01.01.1996    31.12.2012;OWF-Q/ausgewertet nach Erhebung der Verbund Austrian Hydro Power AG
   01.01.2002    31.12.2002;OWF-W/am 23. Mrz Minimum und Maximum durch Lawine beeinflusst
   01.01.2002    31.12.2002;OWF-Q/am 23. Mrz Minimum und Maximum durch Lawine beeinflusst
   01.01.2003    31.12.2003;OWF-W/Im Feb NW und HW durch Lawine beeinflusst
   01.01.2003    31.12.2003;OWF-Q/Im Feb NQ und HQ durch Lawine beeinflusst
   01.01.2004    31.12.2004;OWF-W/im Jän, Feb, Mrz NW durch Lawine beeinflusst
   01.01.2004    31.12.2004;OWF-Q/im Jän, Feb, Mrz NQ durch Lawine beeinflusst
   01.01.2011    31.12.2011;OWF-W/ab 4. Aug Sohleintiefung nach Hochwasser
   01.01.2013              ;OWF-W/ausgewertet nach Erhebung der VERBUND Hydro Power GmbH
   01.01.2013              ;OWF-Q/ausgewertet nach Erhebung der VERBUND Hydro Power GmbH
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/am 2. Apr W-Sprung wegen Sanierung Krainerwand und Profilräumung
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2020    31.12.2020;OWF-Q/Im Feb nach ergänzten Wasserständen ermittelt

