Messstelle:                ;Wiener Neustadt (Flußbauhof)
HZB-Nummer:                ;208975
HD-Nummer:                 ;no820
DBMS-Nummer:               ;3001119
Gewässer:                  ;Wiener Neustädter Kanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;0

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;262,00
   01.09.1978              ;261,80
   01.01.1979              ;260,80

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1971              ;744403,00 - 297357,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1971              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   22.09.2010              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   30.09.2015              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   30.10.2002              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1980    01.01.1993;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1997              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   30.10.2002              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   30.10.2002              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.2012;OWF-W/Kehrbach dotiert mit bis zu 1,5 m³/s Wiener Neustädter Kanal
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/vom 11. bis zum 20. Sep Bachabkehr
   01.01.1999    31.12.1999;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/vom 16. bis 24. Sep und vom 20. bis 26. Dez Bachabkehr
   01.01.2001    31.12.2001;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-W/vom 15. bis 20. Sep Bachabkehr
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/ab 30. Okt Datensammler
   01.01.2002    31.12.2002;OWF-WT/Beobachtungsbeginn 30. Okt  | ab 30. Okt Datensammler
   01.01.2003    31.12.2003;OWF-Q/Im Mrz,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-W/vom 18. bis 26. Sep Bachabkehr
   01.01.2005    31.12.2005;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-W/vom 12. bis 25. Sep Bachabkehr
   01.01.2005    31.12.2005;OWF-Q/vom 12. bis 25. Sep Bachabkehr
   01.01.2006    31.12.2006;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/im Jun, Jul zeitweise Datenausfall
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-W/vom 8. bis 15. Sep Bachabkehr
   01.01.2007    31.12.2007;OWF-WT/vom 31. Mai bis 15. Aug Datenausfall
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-W/vom 20. bis 29. Sep Bachabkehr
   01.01.2008    31.12.2008;OWF-Q/vom 20. bis 29. Sep Bachabkehr
   01.01.2009    31.12.2009;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/im Apr, Jun, Jul zeitweise Datenausfall | Aug bis Dez Datenausfall
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Mrz,Apr,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/vom 26. bis 30. Jän, 4. bis 13. Sep und vom 17. bis 20. Dez Bachabkehr
   01.01.2010    31.12.2010;OWF-Q/vom 26. bis 30. Jän, 4. bis 13. Sep und vom 17. bis 20. Dez Bachabkehr
   01.01.2010    31.12.2010;OWF-WT/im Jän, Apr, Mai und Sep zeitweise Datenausfall | vom 26. bis 30. Jän, 4. bis 13. Sep und  | vom 17. bis 20. Dez Bachabkehr
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/vom 17. bis 21. Sep Bachabkehr
   01.01.2011    31.12.2011;OWF-Q/vom 17. bis 21. Sep Bachabkehr
   01.01.2012    31.12.2012;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Feb,Mai,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/vom 15. bis 21. Sep Bachabkehr
   01.01.2012    31.12.2012;OWF-Q/vom 15. bis 21. Sep Bachabkehr
   01.01.2013              ;OWF-Q/Kehrbach dotiert mit bis zu 1,5 m³/s Wiener Neustädter Kanal
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2013    31.12.2013;OWF-W/vom 5. bis 26. Mai außerordentliche Bachabkehr | vom 19. bis 23. Okt Bachabkehr
   01.01.2013    31.12.2013;OWF-Q/vom 5. bis 26. Mai außerordentliche Bachabkehr | vom 19. bis 23. Okt Bachabkehr
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/von 13. bis 22. Sep Bachabkehr
   01.01.2014    31.12.2014;OWF-Q/von 13. bis 22. Sep Bachabkehr
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Apr,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-W/vom 10. bis 15. Okt Bachabkehr
   01.01.2015    31.12.2015;OWF-Q/vom 10. bis 15. Okt Bachabkehr
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/vom 17. bis 23. Sep Bachabkehr
   01.01.2016    31.12.2016;OWF-Q/vom 17. bis 23. Sep Bachabkehr
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/vom 7. bis 13. Okt Bachabkehr
   01.01.2017    31.12.2017;OWF-Q/vom 7. bis 13. Okt Bachabkehr
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/vom 6. bis 12. Okt Bachabkehr
   01.01.2018    31.12.2018;OWF-Q/vom 6. bis 12. Okt Bachabkehr
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/vom 12. bis 21. Okt Bachabkehr
   01.01.2019    31.12.2019;OWF-Q/vom 12. bis 21. Okt Bachabkehr
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-W/vom 1. bis 2. Jul und vom 3. bis 9. Okt Bachabkehr
   01.01.2020    31.12.2020;OWF-Q/vom 1. bis 2. Jul und vom 3. bis 9. Okt Bachabkehr
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-W/bis 28. Mrz geringe Wasserführung wegen Sanierungsarbeiten | vom 16. bis 22. Okt Bachabkehr
   01.01.2021    31.12.2021;OWF-Q/bis 28. Mrz geringe Wasserführung wegen Sanierungsarbeiten | vom 16. bis 22. Okt Bachabkehr

