Messstelle:                ;Hadersdorf-Weidlingau
HZB-Nummer:                ;209916
HD-Nummer:                 ;W6
DBMS-Nummer:               ;9001006
Gewässer:                  ;Wien
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;110

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1990              ;219,77
   01.01.2013              ;219,79
   03.08.2018              ;219,81

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;741712,80 - 341139,40
   03.08.2018              ;741709,00 - 341136,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1990              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1990              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   10.03.1999    01.06.2019;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.06.2019              ;2111004410-4/OWF-W/Druckdose-Datensammler
   01.01.1990              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.06.2019              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.06.2019              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Wehrbetrieb beeinflusst
   01.01.1996              ;OWF-Q/durch Wehrbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2001    31.12.2001;OWF-W/am 3. Okt und 12. Dez  Aufstau für Versuchsstrecke
   01.01.2001    31.12.2001;OWF-Q/am 3. Okt und 12. Dez  Aufstau für Versuchsstrecke
   01.01.2002    31.12.2002;OWF-W/am 6. Mrz, am 4. Jul, am 10. Okt und am 7. Nov Aufstau für Versuchsstrecke
   01.01.2002    31.12.2002;OWF-Q/am 6. Mrz, am 4. Jul, am 10. Okt und am 7. Nov Aufstau für Versuchsstrecke
   01.01.2003    31.12.2003;OWF-W/am 2. Jun Bauarbeiten im Flußbett
   01.01.2003    31.12.2003;OWF-Q/am 2. Jun Bauarbeiten im Flußbett
   01.01.2004    31.12.2004;OWF-Q/Im Apr,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/vom 13. bis 15. Okt Absenkung des Wienerwaldsees
   01.01.2006    31.12.2006;OWF-Q/vom 13. bis 15. Okt Absenkung des Wienerwaldsees
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Okt,Nov,Dez trocken
   01.01.2009    31.12.2009;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2010    31.12.2010;OWF-Q/Im Mrz,Apr,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-W/am 3. Sep Wienerwaldsee abgelassen
   01.01.2013    31.12.2013;OWF-Q/am 3. Sep Wienerwaldsee abgelassen
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Jun,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Apr nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jun nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt

