Messstelle:                ;Heiligenblut-Winkl
HZB-Nummer:                ;213926
HD-Nummer:                 ;01865
DBMS-Nummer:               ;2002502
Gewässer:                  ;Möll
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;142,1

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.2007              ;1230,77
   17.11.2009              ;1229,77

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.10.2007              ;412713,00 - 211003,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.10.2007              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.10.2007              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.10.2007              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.2007              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.10.2007              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2009    31.12.2009;OWF-WT/Im Feb,Mrz,Apr,Mai,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2010              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.2010              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Okt nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Feb,Mrz,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Apr,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Apr,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Apr,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Apr,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Dez nach ergänzten Wasserständen ermittelt

