Messstelle:                ;Irdning
HZB-Nummer:                ;210732
HD-Nummer:                 ;ow1135
DBMS-Nummer:               ;6001024
Gewässer:                  ;Donnersbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;194,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;643,84
   01.12.2008              ;644,07

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1947              ;581433,40 - 265226,30
   01.01.2001              ;581402,00 - 265190,60
   01.01.2018              ;581435,10 - 265162,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.12.1960              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1961    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   03.01.2005              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1976              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1961    01.02.1976;2141009000-1/OWF-Q/unbestimmt-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-W/Extremwerte beeinflusst
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/Extremwerte beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/ab 12. Nov Bauarbeiten im Pegelbereich
   01.01.1998    31.12.1998;OWF-Q/ab 12. Nov Bauarbeiten im Pegelbereich
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/ganzjährig Ersatzstation wegen Bauarbeiten im Pegelbereich
   01.01.1999    31.12.1999;OWF-Q/ganzjährig Ersatzstation wegen Bauarbeiten im Pegelbereich
   01.01.2000    31.12.2000;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2000    31.12.2000;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/ganzjährig Ersatzstation wegen Bauarbeiten im Pegelbereich
   01.01.2000    31.12.2000;OWF-Q/ganzjährig Ersatzstation wegen Bauarbeiten im Pegelbereich
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-W/von Nov 1998 bis Dez 2000 Auswertungen an Ersatzstation
   01.01.2001    31.12.2001;OWF-Q/von Nov 1998 bis Dez 2000 Auswertungen an Ersatzstation
   01.01.2002    31.12.2002;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2003    31.12.2003;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Aug,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Jun,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Aug nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-W/ab 3. Okt Beileitung zum KW Sölk geschlossen
   01.01.2013    31.12.2013;OWF-Q/ab 3. Okt Beileitung zum KW Sölk geschlossen
   01.01.2014    31.12.2014;OWF-Q/Im Feb,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/bis 8. Apr Beileitung zum KW Sölk geschlossen
   01.01.2014    31.12.2014;OWF-Q/bis 8. Apr Beileitung zum KW Sölk geschlossen
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-W/vom 12. bis 13. Jul und vom 9. bis 12. Nov Wasserfassung zu
   01.01.2015    31.12.2015;OWF-Q/vom 12. bis 13. Jul und vom 9. bis 12. Nov Wasserfassung zu
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-W/Beileitung zum KW Sölk zeitweise geschlossen
   01.01.2017              ;OWF-Q/Beileitung zum KW Sölk zeitweise geschlossen
   01.01.2017    31.12.2017;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Dez durch Eis beeinflusst
